MEAN_v_0,MEAN_RtAeroFxh
3,192279.31781707
4,342979.558052939
5,538822.372405967
6,780005.548649624
7,1060310.61722282
8,1389225.02541279
9,1754226.36512378
10,2148274.63789435
11,2036859.91042134
12,1680179.80010947
13,1480901.61817098
14,1338742.22847159
15,1229005.89223931
16,1141169.27620273
17,1068656.98573201
18,1007584.69569977
19,955412.704003465
20,910597.124259365
21,873311.892551427
22,838912.639524598
23,808176.789820261
24,781378.288537164
25,757558.086676259
